자료ID,플랫폼,정리제목,제작자,원본URL,원래목록,활용주제,이전확인수준,기존요약,이번확인주장,이번선별검토,선별인사이트,적용조건,내경험질문,상세정리
9T5DukkikAg,YouTube 영상,나와 함께 오래갈 사람,한국사장학교 TV,https://www.youtube.com/watch?v=9T5DukkikAg,성장을 위한,고객·설득·브랜드 / 가치·관계·삶,자막 기반 요약,"훌륭한 인재를 채용하기 위해서는 기술보다 품성을 우선시해야 하며, 이들이 오래 머물게 하려면 업무에서 보람을 느끼도록 지원해야 합니다. 리더는 직원의 가치관과 업무를 연결하고 창의성을 발휘할 환경을 제공하여 스스로 성취감을 얻게 돕는 역할을 수행해야 합니다.",,없음,,,,sources/youtube/01-growth.md#9T5DukkikAg
Zh9fVMzLUlk,YouTube 영상,"성공포르노 성수기, 새해다짐 시즌에 속지 않는법",동기부여 뒤집기,https://www.youtube.com/watch?v=Zh9fVMzLUlk,성장을 위한,고객·설득·브랜드 / 실행·지속·회복,자막 기반 요약,"새해다짐 시즌에 기승을 부리는 성공 포르노 마케팅의 허구성을 비판하며, 과도한 계획보다 본질적인 실천의 중요성을 강조합니다. 웅장한 시작보다는 지금 당장 작게 시작하고, 특정 시기나 인증에 집착하지 않는 주체적인 태도가 필요하다고 조언합니다.",,없음,,,,sources/youtube/01-growth.md#Zh9fVMzLUlk
pwKuAkgUWnc,YouTube 영상,"내가 끊임없이 실패하는 이유, 의지력이 부족해서가 아닙니다! ㅣ 베이직교회 조정민 목사 ㅣ 잘잘법 174회",잘잘법 :잘 믿고 잘 사는 법,https://www.youtube.com/watch?v=pwKuAkgUWnc,성장을 위한,실행·지속·회복 / 가치·관계·삶,자막 기반 요약,"작심삼일의 반복은 의지력 부족이 아니라 일의 가치와 중요성을 충분히 자각하지 못했기 때문입니다. 내 인생을 바칠 만한 소명과 가치를 발견할 때, 인간의 의지를 넘어선 지속적인 열정이 생겨납니다.","조정민은 작심삼일을 의지 부족으로 비난하기보다 일에 두는 가치와 중요성을 살펴보자고 말하며, 자신의 예배 지속과 요리에 의미를 찾은 사람의 사례를 든다. 기독교적 소명에 뿌리를 둔 해석이다.",자막·캡션 구간 직접 대조,"루틴을 어떻게 유지할지 묻는 것과 함께 왜 이 일을 계속하고 싶은지 적으면, 관성으로 늘린 계획을 재검토할 수 있다. 외부 성과가 줄어도 남기고 싶은 작업과 현재 책임 때문에 해야 하는 일을 구분해 생각하는 성찰 글로 사용할 수 있다.",오래 지속하지 못했다는 이유로 가치나 신앙이 부족하다고 판단하지 않는다. 의미 있는 일도 체력·시간·자원 때문에 멈출 수 있다. 개인의 신앙적 증언을 보편 심리 법칙·업무 성과 공식으로 합치지 않는다.,아무도 칭찬하지 않아도 계속하고 싶은 일은 무엇인가? 그 일을 지속하기 위해 의미 외에 필요한 현실 조건은 무엇인가?,sources/youtube/01-growth.md#pwKuAkgUWnc
b1d3yB7Vv7c,YouTube 영상,피가 되고 살이 되는 쓴소리 ft.백종원,잘될거야,https://www.youtube.com/watch?v=b1d3yB7Vv7c,성장을 위한,실행·지속·회복 / 가치·관계·삶,자막 기반 요약,백종원은 과거를 딛고 기회를 얻은 이에게 주변의 믿음을 저버리지 말고 반드시 변화할 것을 강력히 촉구합니다. 세상의 편견을 깨고 보란 듯이 성공하여 스스로의 가치를 증명하라는 진심 어린 쓴소리를 전합니다.,,없음,,,,sources/youtube/01-growth.md#b1d3yB7Vv7c
Wrma9n0ibcg,YouTube 영상,레이달리오의 성공법칙,코인 데이터,https://www.youtube.com/watch?v=Wrma9n0ibcg,성장을 위한,고객·설득·브랜드 / 실행·지속·회복,자막 기반 요약,"레이 달리오가 제안하는 성공을 위한 5단계 프로세스를 설명합니다. 목표 설정부터 문제 진단, 설계 및 실행에 이르는 체계적인 접근 방식을 강조합니다.",,없음,,,,sources/youtube/01-growth.md#Wrma9n0ibcg
Erx28AkkU6w,YouTube 영상,"""모든 학생에 전액 장학금을"" 1조 3천억 원 기부 / SBS / #D리포트",SBS 뉴스,https://www.youtube.com/watch?v=Erx28AkkU6w,"성장을 위한 / 인생수업, 위기의 때",가치·관계·삶,자막 기반 요약,"알버트 아인슈타인 의과대학의 루스 가데스먼 전 교수가 학생들의 학비 부담을 없애기 위해 1조 3천억 원을 기부했습니다. 이번 기부로 모든 학생이 전액 장학금 혜택을 받게 되었으며, 기부자는 자신의 이름을 드러내지 말라는 조건을 걸었습니다.",,없음,,,,sources/youtube/01-growth.md#Erx28AkkU6w
ECh25K1_6SI,YouTube 영상,"하고 싶은 일, 해야 하는 일ㅣ동기부여 영상 모음",자기객관화,https://www.youtube.com/watch?v=ECh25K1_6SI,성장을 위한,실행·지속·회복,자막 기반 요약,"성공한 인물들의 경험을 통해 자신이 좋아하는 일을 포기하지 않고 도전하는 태도의 중요성을 강조합니다. 타인의 시선에서 벗어나 스스로의 가치를 인정하고, 실패를 배움의 과정으로 삼아 꾸준히 나아갈 것을 권장합니다.",,없음,,,,sources/youtube/01-growth.md#ECh25K1_6SI
8onUlhw_qtQ,YouTube 영상,진짜 내 꿈을 찾는 법!! 방황하고 있는 그대에게✨,CosmoJina 코스모지나,https://www.youtube.com/watch?v=8onUlhw_qtQ,성장을 위한,학습·생각·글쓰기 / 실행·지속·회복,영상 직접 분석,"이 영상은 로라 가넷의 '천재성 영역(Zone of Genius)' 개념을 활용해 진정한 자아와 꿈을 찾는 구체적인 방법을 제시합니다. 열정, 기술, 재능, 가치라는 네 가지 요소의 교집합인 '스위트 스팟'을 찾아 인생의 방향성을 설정할 것을 강조합니다.",,없음,,,,sources/youtube/01-growth.md#8onUlhw_qtQ
_h3ecO9v6Tc,YouTube 영상,도덕적으로 미덕있는 척 하는 사람은 저급한 사람이다 | 조던 피터슨,바른말오른말,https://www.youtube.com/watch?v=_h3ecO9v6Tc,성장을 위한,실행·지속·회복 / 가치·관계·삶,자막 기반 요약,조던 피터슨은 자신의 무능함과 나약함을 도덕적 미덕으로 포장하는 남성이 노골적인 가해자보다 더 저급한 존재라고 비판합니다. 그는 진정한 선함이 아닌 약함을 선으로 위장하는 태도는 장기적으로 성공적인 삶의 전략이 될 수 없음을 강조합니다.,,없음,,,,sources/youtube/01-growth.md#_h3ecO9v6Tc
1x6v-bDJ1jQ,YouTube 영상,포기 안 하는 방법,주언규 joo earn gyu,https://www.youtube.com/watch?v=1x6v-bDJ1jQ,"성장을 위한 / 인생수업, 위기의 때",실행·지속·회복,자막 기반 요약,"포기는 결과를 확인하지 않고 중간에 그만두는 것이며, 이를 방지하려면 시작 전 명확한 기간을 설정해야 합니다. 정해진 기간을 끝까지 완수하는 경험을 쌓아야 포기가 습관이 되는 것을 막을 수 있습니다.",,없음,,,,sources/youtube/01-growth.md#1x6v-bDJ1jQ
zfx3k7NB1G8,YouTube 영상,우리나라가 인터넷 최강국이 된 이유,또치킨,https://www.youtube.com/watch?v=zfx3k7NB1G8,성장을 위한,제품·창업·AI,자막 기반 요약,전길남 박사는 기술적 불모지였던 한국에서 네트워크 구축이 국가 발전의 핵심임을 간파하고 독자적인 기술 개발을 이끌었습니다. 그 결과 한국은 미국의 견제를 뚫고 세계 두 번째로 인터넷 연결에 성공하며 아시아 정보화의 선구자가 되었습니다.,,없음,,,,sources/youtube/01-growth.md#zfx3k7NB1G8
QrshuvMBOC4,YouTube 영상,아무리 해도 인생이 안 풀릴 때,주언규 joo earn gyu,https://www.youtube.com/watch?v=QrshuvMBOC4,성장을 위한,실행·지속·회복 / 가치·관계·삶,자막 기반 요약,"인생이 잘 풀리지 않을 때는 고집을 버리고 목표는 유지하되 접근 방법을 바꾸는 유연함이 필요합니다. 이미 성공한 사람을 찾아가 조언을 구하고, 자신의 방식을 고집하기보다 배운 내용을 적극적으로 수용해야 합니다.",,없음,,,,sources/youtube/01-growth.md#QrshuvMBOC4
snAcqJmDwss,YouTube 영상,"결국 해내는 사람들은 계획부터 다르다 ""계획대로 안되도 흔들리지 않아요""",드로우앤드류,https://www.youtube.com/watch?v=snAcqJmDwss,성장을 위한,학습·생각·글쓰기 / 실행·지속·회복,자막 기반 요약,"앤드류는 계획, 실행, 기록, 동기부여로 이어지는 지속 가능한 자기계발 사이클을 통해 목표에 가까워지는 방법을 제시합니다. 특히 일요일에는 매니저로서 한 주를 설계하고 평일에는 수행자로서 실행에만 집중하는 역할 분리를 강조합니다.","드로우앤드류는 이벤트와 업무를 구분하고, 일요일에 주간 배분을 한 뒤 평일에는 당일 일에 집중하는 방식을 설명한다. 계획을 못 지키는 경우 자신의 처리 역량을 몰랐을 수 있으니 반복하며 실험하고, 예상치 못한 일을 위한 버퍼를 둔다고 말한다.",자막·캡션 구간 직접 대조,할 일 미완료를 매번 성실성의 문제로만 읽기보다 계획량·실제 소요시간·외부 변수의 차이로 분해할 수 있다. 일주일 계획에서 하나를 미룬 이유를 기록하면 다음 계획의 분량을 현실에 맞추는 자료가 된다. 글감은 완벽한 플래너 공개보다 ‘내 예상이 어떻게 틀렸고 다음 주에 무엇을 줄였는가’다.,주간 계획을 고정하는 방식은 외부 변수가 적을 때 유리하다. 고객 요청이나 돌발 대응이 많은 날은 매일 짧은 재배분이 필요할 수 있다. 토요일을 반드시 보충 노동일로 삼으라는 보편 처방으로 옮기지 않는다.,"내가 실패한 계획 하나를 의지·분량·예상 시간·돌발 변수로 나눠 보면, 다음번 바꿀 것은 무엇인가?",sources/youtube/01-growth.md#snAcqJmDwss
0ytXUIWS4P4,YouTube 영상,대부분의 사람들이 이걸 몰라서 부자가 되지 못해요 | 되더라 - 현우진 | 공부자극 | 동기부여 | bgm 제거 버전,오늘의글,https://www.youtube.com/watch?v=0ytXUIWS4P4,"성장을 위한 / 학습, 배움",학습·생각·글쓰기 / 실행·지속·회복,자막 기반 요약,"현우진 강사는 공부의 성패가 재능과 노력의 결합에 달려 있으며, 압도적인 성과를 위해선 높은 기준과 막대한 인풋이 필수라고 강조합니다. 특히 자신이 모르는 부분을 집요하게 공부하고 학습의 텐션을 유지하는 습관이 성공의 핵심이라고 조언합니다.",,없음,,,,sources/youtube/01-growth.md#0ytXUIWS4P4
9BnSk8UuOyc,YouTube 영상,우리의 인생에는 세 단계가 있다.,Intelligence,https://www.youtube.com/watch?v=9BnSk8UuOyc,"성장을 위한 / 인생수업, 위기의 때",실행·지속·회복 / 가치·관계·삶,자막 기반 요약,"SNS에 의존하기보다 침묵 속에서 배우고 성장하며 인생의 세 단계를 충실히 살아가라는 조언을 전합니다. 인생은 배우는 단계(Learn), 수익을 내는 단계(Earn), 그리고 사회에 환원하는 단계(Return)로 구성됩니다.",,없음,,,,sources/youtube/01-growth.md#9BnSk8UuOyc
A_9ecbVNH4U,YouTube 영상,"워렌버핏의 평생 파트너, 최고 자산가 찰리멍거의 10가지 교훈, 부자의 습관ㅣ동기부여학과",동기부여학과,https://www.youtube.com/watch?v=A_9ecbVNH4U,성장을 위한,고객·설득·브랜드 / 실행·지속·회복 / 가치·관계·삶,자막 기반 요약,"찰리 멍거는 돈을 목적이 아닌 원하는 삶을 살기 위한 도구로 정의하며, 겸손과 단순함의 가치를 강조합니다. 그는 진정한 부의 핵심은 화려한 겉모습이 아니라 스스로의 삶을 결정할 수 있는 자유에 있다고 주장합니다.",,없음,,,,sources/youtube/01-growth.md#A_9ecbVNH4U
h26vRWbx6nU,YouTube 영상,성공한 사람들의 한 가지 비밀 | 마크 주커버크,NOMATTER 노메럴,https://www.youtube.com/watch?v=h26vRWbx6nU,성장을 위한,고객·설득·브랜드 / 실행·지속·회복,자막 기반 요약,"마크 주커버그는 아이디어가 처음부터 완벽하게 완성된 상태로 나타나지 않으며, 실행하는 과정에서 점차 명확해진다고 강조합니다. 단 한 번의 깨달음이라는 환상에 빠지기보다 일단 시작하는 태도가 성공의 핵심이라고 조언합니다.",,없음,,,,sources/youtube/01-growth.md#h26vRWbx6nU
uzLrRi6zWaA,YouTube 영상,"사실상 끝난 상황에서, 어떻게든 방법을 찾아 보는데..",MG세대,https://www.youtube.com/watch?v=uzLrRi6zWaA,"성장을 위한 / 인생수업, 위기의 때",실행·지속·회복,자막 기반 요약,절망적인 상황에서도 포기하지 않고 끝까지 해결책을 찾아내는 끈기의 중요성을 보여줍니다. 대부분의 사람들이 포기할 만한 순간에도 멈추지 않고 도전하여 결국 상황을 반전시키는 과정을 담고 있습니다.,,없음,,,,sources/youtube/01-growth.md#uzLrRi6zWaA
9TBJHgUCNuk,YouTube 영상,당신에게 불안이 찾아왔다면 | 로버트 그린,NOMATTER 노메럴,https://www.youtube.com/watch?v=9TBJHgUCNuk,성장을 위한,실행·지속·회복,자막 기반 요약,"로버트 그린은 불안을 해결되지 않은 문제에 대한 신호로 정의하며, 즉각적인 해답을 찾기보다 깊이 사고할 것을 권장합니다. 불안에 쫓겨 성급한 결정을 내리기보다 다양한 대안을 검토하는 과정을 통해 더 나은 선택을 할 수 있다고 강조합니다.",,없음,,,,sources/youtube/01-growth.md#9TBJHgUCNuk
1eqTEQvzc1E,YouTube 영상,배우는 속도가 느린 것 같다면 '이걸' 해 보세요 | 빠른 학습을 가능하게 하는 3가지 도구,알리고올리GO - 교육정보 전문 채널,https://www.youtube.com/watch?v=1eqTEQvzc1E,성장을 위한,학습·생각·글쓰기 / 실행·지속·회복 / 별도 확인·배경,자막 기반 요약,성인기 뇌 가소성을 활성화하려면 실수를 통한 자극과 적절한 자율신경계 조절이 필수적입니다. 실패의 좌절감을 긍정적으로 수용하고 짧고 집중적인 학습 세션을 반복함으로써 학습 속도를 획기적으로 높일 수 있습니다.,,없음,,,,sources/youtube/01-growth.md#1eqTEQvzc1E
wnYdyYdJOBY,YouTube 영상,게으르고 야망이 큰 사람이 위험한 이유 | 패트릭 벳 데이비드,NOMATTER 노메럴,https://www.youtube.com/watch?v=wnYdyYdJOBY,"성장을 위한 / 인생수업, 위기의 때",고객·설득·브랜드 / 가치·관계·삶,자막 기반 요약,패트릭 벳 데이비드는 실력과 노력 없이 야망만 큰 사람들을 사회에서 가장 위험한 부류로 정의하며 경계할 것을 조언합니다. 이들은 자신의 부족함을 채우기보다 타인을 공격하는 데 에너지를 쓸 수 있으므로 적절한 거리 두기가 필요하다고 강조합니다.,,없음,,,,sources/youtube/01-growth.md#wnYdyYdJOBY
F42oxFb9gfc,YouTube 영상,실리콘밸리가 사용하는 일하는 프로세스,퇴사한 이형,https://www.youtube.com/watch?v=F42oxFb9gfc,성장을 위한,고객·설득·브랜드 / 가치·관계·삶,자막 기반 요약,"실리콘밸리는 명확한 오너십과 고객 중심 문화를 바탕으로 투명한 업무 프로세스를 운영하며, 이는 파편화된 한국식 업무 방식과 차별화됩니다. 아마존의 6페이지 문서 회의와 사전 리스크 관리 시스템은 조직의 논리적 사고와 실행력을 극대화하는 핵심 동력입니다.",,없음,,,,sources/youtube/01-growth.md#F42oxFb9gfc
fx-6os408VE,YouTube 영상,진상 처리에 도가 튼 알바생,숏! 무비중심,https://www.youtube.com/watch?v=fx-6os408VE,성장을 위한,고객·설득·브랜드 / 가치·관계·삶,자막 기반 요약,불만을 제기하는 손님에게 즉각 사과하고 너스레를 떨어 상황을 유연하게 해결하는 알바생의 모습입니다. 사장은 뛰어난 대처 능력을 보인 알바생에게 보너스를 지급하며 격려합니다.,,없음,,,,sources/youtube/01-growth.md#fx-6os408VE
r4v4oinvmng,YouTube 영상,성공한 사업가는 다 한다는 '이 루틴',큰손 노희영,https://www.youtube.com/watch?v=r4v4oinvmng,성장을 위한,학습·생각·글쓰기 / 고객·설득·브랜드 / 실행·지속·회복,자막 기반 요약,"외식할 때마다 식당의 좌석 수, 인건비, 매출 및 임대료를 추정하여 기록하는 분석 루틴을 강조합니다. 이러한 습관을 생활화하면 사업적 통찰력이 생겨 어떤 분야에서도 성공할 수 있다고 설명합니다.",노희영은 식당의 좌석·직원·메뉴 등을 보고 매출과 비용을 추정해 기록하는 루틴을 권한다. 자막 0:22에는 추정이 틀릴 수 있다는 단서가 명시돼 있다.,자막·캡션 구간 직접 대조,"이 자료에서 옮길 만한 것은 손익을 맞히는 공식보다 ‘현장에 질문을 갖고 들어가 관찰하고 가설을 기록하는 습관’이다. 교육·업무 현장에서는 누가 어느 단계에서 멈췄는지, 반복 질문은 무엇인지, 어떤 우회 행동을 했는지 기록할 수 있다. 사실·내 해석·확인할 질문을 세 칸으로 나누는 방식은 이 문서의 제안이다.",한 번 방문해 본 좌석 수로 실제 매출·순이익을 알 수는 없다. 시간대·회전율·배달·비용 구조 등 보이지 않는 변수가 있다. 이 적용을 사업 판단이나 재무 조언이 아닌 관찰 훈련으로 한정한다. 타인을 식별하는 정보는 글에 넣기 전 정리한다.,"최근 현장에서 직접 본 사실 한 가지와, 그 사실을 보고 내가 너무 빨리 붙인 설명은 무엇인가?",sources/youtube/01-growth.md#r4v4oinvmng
Ri0boleSuDc,YouTube 영상,레스 브라운 역대급 동기부여 영상 -,성공한스푼,https://www.youtube.com/watch?v=Ri0boleSuDc,성장을 위한,실행·지속·회복,영상 직접 분석,레스 브라운은 아들과의 게임 일화를 통해 승리할 때까지 포기하지 않는 태도의 중요성을 강조합니다. 어떠한 역경 속에서도 자신의 꿈을 되새기며 끝까지 도전하는 마음가짐이 성공의 열쇠임을 역설합니다.,,없음,,,,sources/youtube/01-growth.md#Ri0boleSuDc
ORUfaD_jjfE,YouTube 영상,신발 끈 꽉 매고 그냥 밀어붙여.,Intelligence,https://www.youtube.com/watch?v=ORUfaD_jjfE,성장을 위한,고객·설득·브랜드 / 실행·지속·회복,자막 기반 요약,상업용 부동산 전문가인 인터뷰이는 성공을 위해 막대한 자본보다 지능과 끈기 있는 노력이 필수적이라고 강조합니다. 그는 학교 교육보다 포기하지 않는 태도가 승자와 패자를 가르는 결정적인 차이라고 조언합니다.,,없음,,,,sources/youtube/01-growth.md#ORUfaD_jjfE
LwnsHp5b-rU,YouTube 영상,냉소적인 사람과 낙관적인 사람의 차이 | 알렉스 홀모지,NOMATTER 노메럴,https://www.youtube.com/watch?v=LwnsHp5b-rU,성장을 위한,고객·설득·브랜드 / 실행·지속·회복,자막 기반 요약,"낙관주의자는 큰 성취가 가능하다는 믿음을 바탕으로 행동하며 결국 부와 성공을 거머쥡니다. 냉소주의자는 수많은 실패를 예견하며 단기적으로는 옳아 보일 수 있지만, 최종적인 성공의 가치를 간과합니다.",,없음,,,,sources/youtube/01-growth.md#LwnsHp5b-rU
cOINKq-rzVE,YouTube 영상,“나도 기술적 분석 다 해봤지” #워런버핏,메이킹알파,https://www.youtube.com/watch?v=cOINKq-rzVE,"성장을 위한 / 인생수업, 위기의 때",학습·생각·글쓰기 / 실행·지속·회복,자막 기반 요약,워런 버핏은 주식 투자에서 이론보다 실제 경험을 통한 배움과 자기 성찰의 중요성을 강조합니다. 그는 벤저민 그레이엄의 저서를 읽기 전 8년간의 시행착오가 오히려 올바른 투자 철학을 수용하는 준비 과정이 되었다고 설명합니다.,,없음,,,,sources/youtube/01-growth.md#cOINKq-rzVE
KNC7UWvn4W4,YouTube 영상,비범함을 위해선 그래야만 한다.,Intelligence,https://www.youtube.com/watch?v=KNC7UWvn4W4,성장을 위한,고객·설득·브랜드 / 실행·지속·회복,자막 기반 요약,비범한 성과를 달성하기 위해서는 완벽주의와 타협하지 않는 엄격한 기준이 필수적임을 강조합니다. 화자는 까다롭다는 주변의 평가를 긍정하며 탁월함을 향한 태도의 중요성을 역설합니다.,,없음,,,,sources/youtube/01-growth.md#KNC7UWvn4W4
8eI3v-A4g-g,YouTube 영상,나는 해낸다 안 되면 죽는다.,Intelligence,https://www.youtube.com/watch?v=8eI3v-A4g-g,"성장을 위한 / 인생수업, 위기의 때",실행·지속·회복,영상 직접 분석,짐 론은 '죽을 각오로 해내겠다'는 강력한 결심이 인생을 바꿀 수 있다고 강조합니다. 어떤 장애물에도 굴하지 않고 목표를 향해 나아가는 확고한 의지가 성공의 핵심임을 역설합니다.,,없음,,,,sources/youtube/01-growth.md#8eI3v-A4g-g
4z4Gj2BXQKw,YouTube 영상,자신감 있는 척? 현실에선 안 통한다🙅‍♂️,미엠지 Me:MZ,https://www.youtube.com/watch?v=4z4Gj2BXQKw,성장을 위한,실행·지속·회복,자막 기반 요약,자신감은 단순히 척하는 것이 아니라 작은 성취를 통해 신체가 학습해 나가는 과정입니다. 아주 사소한 일이라도 완벽하게 해내는 경험이 쌓여야 진정한 자신감으로 확장될 수 있습니다.,,없음,,,,sources/youtube/01-growth.md#4z4Gj2BXQKw
R5lyFHQ27UU,YouTube 영상,남의 시선 자꾸 신경 쓰는 게 위험한 이유,오현호의 행동력 수업 ,https://www.youtube.com/watch?v=R5lyFHQ27UU,성장을 위한,실행·지속·회복 / 가치·관계·삶,자막 기반 요약,비행기 착륙 시 타인의 평가를 의식해 부드러운 착륙에만 집착하면 오히려 위험한 상황을 초래할 수 있습니다. 진정한 자유는 남의 시선에서 벗어나 자신의 본업과 상황에 집중할 때 얻어지는 도덕적 성품입니다.,,없음,,,,sources/youtube/01-growth.md#R5lyFHQ27UU
Bg-qpNbs9Yo,YouTube 영상,진짜 가족을 위해 살고 있긴 해?,Intelligence,https://www.youtube.com/watch?v=Bg-qpNbs9Yo,"성장을 위한 / 인생수업, 위기의 때",실행·지속·회복 / 가치·관계·삶,자막 기반 요약,"가족을 위해 죽을 수 있다는 거창한 다짐보다, 그들을 위해 건강하게 살아가는 일상의 실천이 더 중요합니다. 운동, 식습관, 수면 등 자기 관리를 통해 더 나은 삶을 유지하는 것이 진정한 가족 사랑의 증거라고 강조합니다.",,없음,,,,sources/youtube/01-growth.md#Bg-qpNbs9Yo
g8kEEE4_uRM,YouTube 영상,무례한 농담 대처법,"One Step, Big Change | 작은 한걸음, 큰 변화",https://www.youtube.com/watch?v=g8kEEE4_uRM,성장을 위한,가치·관계·삶,자막 기반 요약,무례한 질문을 받았을 때 상대방에게 말을 다시 해달라고 요청하여 상황의 주도권을 잡는 방법을 설명합니다. 이를 통해 상대방이 자신의 무례함을 인지하게 하고 스스로 물러나게 만들 수 있습니다.,,없음,,,,sources/youtube/01-growth.md#g8kEEE4_uRM
572Tq1DZbsY,YouTube 영상,”세상은 소심한 남자에게 잔인하고 용기있는 자에게 보상을 준다“,미엠지 Me:MZ,https://www.youtube.com/watch?v=572Tq1DZbsY,성장을 위한,고객·설득·브랜드 / 실행·지속·회복 / 가치·관계·삶,자막 기반 요약,"진정한 자신감은 타인 앞에서 바보처럼 보이거나 실패하는 것을 두려워하지 않는 태도에서 시작됩니다. 성공을 위해서는 자신이 닮고 싶은 사람의 조언에만 집중하고, 한 가지 분야를 화살촉처럼 날카롭게 마스터하는 과정이 필요합니다.",,없음,,,,sources/youtube/01-growth.md#572Tq1DZbsY
CdPkWCOj4ho,YouTube 영상,하는 일이 적성에 안맞을 때,큰손 노희영,https://www.youtube.com/watch?v=CdPkWCOj4ho,"성장을 위한 / 인생수업, 위기의 때",실행·지속·회복 / 가치·관계·삶,자막 기반 요약,모델에서 공인중개사로 전업 후 정체성 혼란을 겪는 사연자에게 전문가는 배수의 진을 치는 태도를 강조합니다. 성과를 내기도 전에 고민만 하기보다 해당 분야에서 최고가 되겠다는 우직한 마음가짐으로 임할 것을 조언합니다.,,없음,,,,sources/youtube/01-growth.md#CdPkWCOj4ho
Vkmn9Q7zZBY,YouTube 영상,개그맨에서 연봉 10억 작가로 변신한 고명환의 비법은 '이것'⁉️ 정해진 틀을 깨고 사고방식을 바꾸는 가장 효과적인 법✅ #어쩌다어른10주년,tvN STORY 티비엔 스토리,https://www.youtube.com/watch?v=Vkmn9Q7zZBY,성장을 위한,학습·생각·글쓰기 / 고객·설득·브랜드 / 실행·지속·회복,자막 기반 요약,고명환 작가는 독서를 통해 타인이 정한 기준의 틀을 깨고 자신의 세계를 확장하는 것이 성공의 핵심이라고 강조합니다. 긍정적인 질문과 예언적 완료형 확언을 통해 뇌를 자극하고 스스로를 변화시키는 구체적인 방법을 제시합니다.,,없음,,,,sources/youtube/01-growth.md#Vkmn9Q7zZBY
fOQ7U2xL3sw,YouTube 영상,4000억 엑싯한 맥킨지 출신 창업가의 초합리적 결정법(+경제학)ㅣ스킨1004 이소형,EO Korea,https://www.youtube.com/watch?v=fOQ7U2xL3sw,성장을 위한,고객·설득·브랜드 / 실행·지속·회복 / 가치·관계·삶,자막 기반 요약,"이소형 대표는 거시적 흐름을 읽고 유연하게 대응하며 스킨1004를 글로벌 브랜드로 성장시켜 4,000억 원 규모의 엑싯을 달성했습니다. 그는 단순한 부의 축적을 넘어 동료들과 성과를 나누고 인류에 기여하는 가치 중심의 경영을 지향합니다.",,없음,,,,sources/youtube/01-growth.md#fOQ7U2xL3sw
c0tpnShGv4U,YouTube 영상,최선을 다했는데 인정받지 못하는 마음이 든다면 #악마는프라다,비오케이 BeOk,https://www.youtube.com/watch?v=c0tpnShGv4U,성장을 위한,실행·지속·회복 / 가치·관계·삶,자막 기반 요약,"주인공 앤디는 최선을 다해도 인정받지 못한다며 불평하지만, 동료 나이젤은 그것이 노력이 아닌 징징거림일 뿐이라고 일침을 가합니다. 진정한 노력은 보상을 바라는 태도에서 벗어나 자신의 직무에 완전히 몰입하는 것임을 시사합니다.",,없음,,,,sources/youtube/01-growth.md#c0tpnShGv4U
VCzjbSr00VM,YouTube 영상,일을 '진짜' 잘하는 사람들 특징,하꼰대 Ha kkondae,https://www.youtube.com/watch?v=VCzjbSr00VM,성장을 위한,실행·지속·회복 / 가치·관계·삶,자막 기반 요약,"일을 잘하는 사람의 핵심은 결과뿐만 아니라 과정에 대한 확실한 보고와 피드백에 있습니다. 문제 상황에서 단순히 안 된다고 보고하는 것이 아니라, 다음 대안까지 함께 제시하는 태도가 중요합니다.",,없음,,,,sources/youtube/01-growth.md#VCzjbSr00VM
G1WOyfYeQZQ,YouTube 영상,무려 5년 동안 매일 훈련했다는 마이클 펠프스,애슬레틱 라이프 Athletic Life,https://www.youtube.com/watch?v=G1WOyfYeQZQ,성장을 위한,실행·지속·회복,자막 기반 요약,마이클 펠프스는 5~6년 동안 휴일 없이 매일 훈련하며 압도적인 연습량을 유지했습니다. 그는 하기 싫은 순간에도 포기하지 않고 움직이는 실천력이 평범함과 위대함을 가르는 차이라고 설명합니다.,,없음,,,,sources/youtube/01-growth.md#G1WOyfYeQZQ
MUXL_JmgnXA,YouTube 영상,"사고를 바꾸는 방법, 학생뿐만 아니라 일반인들이 사고를 바꾸려면 꼭 봐야할 영상│현우진 동기부여 영상│삶의 자세│공부 자극",인간관계와 현생,https://www.youtube.com/watch?v=MUXL_JmgnXA,성장을 위한,학습·생각·글쓰기 / 실행·지속·회복,자막 기반 요약,"현우진 강사는 성적 향상을 위해 단순한 공부량보다 사고의 전환과 독서를 통한 문해력 강화가 필수적임을 강조합니다. 주변의 자극을 계기로 습관을 바꾸고, 다독을 통해 텍스트를 장악하는 능력을 기르는 것이 진정한 실력의 핵심이라고 설명합니다.",,없음,,,,sources/youtube/01-growth.md#MUXL_JmgnXA
NNSyrIlzwwM,YouTube 영상,"[메가스터디] 바른공부설명회 현우진 ""교과서 학습을 통한 사고력 향상 학습법""",theMEGASTUDY,https://www.youtube.com/watch?v=NNSyrIlzwwM,성장을 위한,학습·생각·글쓰기 / 실행·지속·회복,자막 기반 요약,현우진 강사는 단순 암기에서 벗어나 사고력을 기르기 위한 독서와 단계별 교과서 학습의 중요성을 강조합니다. 자신의 경험을 통해 공부 습관의 변화와 텍스트 이해 능력이 성적 향상의 근본적인 열쇠임을 역설합니다.,,없음,,,,sources/youtube/01-growth.md#NNSyrIlzwwM
