재생목록,순서,영상ID,제목,채널,원본URL,상태,자막확보,자막언어,자동생성,분류,한줄요약,상세정리
성장을 위한,65,V-LDoWiUvoM,'50만'명 지휘하고 깨달은 상위 '0.1%'들의 결정적인 차이 (고성균 장군 1부),지식인사이드,https://www.youtube.com/watch?v=V-LDoWiUvoM,자막 기반 요약,예,ko,자동,"소통·관계, 실행·습관",고성균 장군은 50만 명을 지휘하며 깨달은 상위 0.,01-growth.md#V-LDoWiUvoM
성장을 위한,66,kICh_d6tHQk,1 년 넘게 하루에 12 시간 공부 한 방법,James Scholz,https://www.youtube.com/watch?v=kICh_d6tHQk,자막 기반 요약,예,ko,수동,"실행·습관, 학습·기록, 건강",화자는 1년 넘게 하루 12시간 공부할 수 있었던 비결로 성장 마인드셋과 동기가 아닌 강력한 실행 의지를 강조합니다.,01-growth.md#kICh_d6tHQk
성장을 위한,67,jS-Jk9fT7uQ,"레전드 인공지능 과학자가 별세하기전에 남긴 MIT 최고의 강의 ""말을 하는 법""",JASON MEDIA,https://www.youtube.com/watch?v=jS-Jk9fT7uQ,자막 기반 요약,예,en,자동,"소통·관계, 학습·기록",패트릭 윈스턴 교수는 인생의 성공을 결정하는 가장 중요한 요소로 말하기 능력을 꼽으며 청중을 사로잡는 강연 기법을 전수합니다.,01-growth.md#jS-Jk9fT7uQ
성장을 위한,68,3r6hUpSKdHI,누구든 1000% 바꿀 뇌 개조법 공유 금지 | 존 아사라프,성공비밀 by 민팍,https://www.youtube.com/watch?v=3r6hUpSKdHI,자막 기반 요약,예,en,자동,"실행·습관, 학습·기록, 회복·감정","존 아사라프는 단순한 관심이 아닌 헌신적인 태도가 목표 달성의 핵심이며, 이를 위해 뇌의 신경 패턴을 재설계해야 한다고 강조합니다.",01-growth.md#3r6hUpSKdHI
성장을 위한,69,yA8PsufH-C8,대중을 매료시키는 화법의 비밀 | 말을 제대로 잘하는 방법,돈공-돈버는공식,https://www.youtube.com/watch?v=yA8PsufH-C8,자막 기반 요약,예,ko,수동,"소통·관계, 학습·기록",말을 잘하기 위해서는 단순한 기술을 넘어 자기 인식과 탄탄한 논리적 사고가 뒷받침되어야 합니다.,01-growth.md#yA8PsufH-C8
성장을 위한,70,zH4E-NWJVPo,소심한 사람의 인생이 망가지는 과정,주언규 joo earn gyu,https://www.youtube.com/watch?v=zH4E-NWJVPo,영상 직접 분석,아니오,확인 안 됨,확인 안 됨,"실행·습관, 사업·브랜딩, 소통·관계",성공의 원인을 잘못 분석하여 불필요한 징크스를 쌓는 것이 인생과 조직의 효율을 저해한다고 경고합니다.,01-growth.md#zH4E-NWJVPo
성장을 위한,71,0wgJxFiJL2c,이것만 하지 않아도 성공했을텐데...,주언규 joo earn gyu,https://www.youtube.com/watch?v=0wgJxFiJL2c,자막 기반 요약,예,ko,자동,"사업·브랜딩, 실행·습관",사업 실패의 주요 원인은 남 탓을 하는 습관과 감당할 수 없는 규모의 무리한 투자에 있습니다.,01-growth.md#0wgJxFiJL2c
성장을 위한,72,y00tvum7g1I,인생을 바꾸는 법 - 한 걸음씩 나아가기,한눈에 보는 세상 – Kurzgesagt,https://www.youtube.com/watch?v=y00tvum7g1I,자막 기반 요약,예,ko,수동,"실행·습관, 학습·기록, 건강","변화는 뇌 속 정글에 새로운 고속도로를 만드는 과정이며, 거창한 목표보다 작고 구체적인 루틴을 반복하여 습관으로 정착시키는 것이 핵심입니다.",01-growth.md#y00tvum7g1I
성장을 위한,73,XqMvQSr7Px8,대부분의 사람들이 이걸 몰라서 부자가 되지 못해요 | 되더라 - 현우진 | 공부자극 | 동기부여,오늘의글,https://www.youtube.com/watch?v=XqMvQSr7Px8,자막 기반 요약,예,ko,자동,"실행·습관, 학습·기록","현우진 강사는 사고의 전환을 위해 계기와 경험, 타인의 도움이 필수적임을 강조하며 자신의 성적 향상 사례를 공유합니다.",01-growth.md#XqMvQSr7Px8
성장을 위한,74,720t8HBjWns,한계에 부딪쳤을 때 당신에게 필요한 동기부여 영상 | 한영 자막,제임스비디오 James video,https://www.youtube.com/watch?v=720t8HBjWns,자막 기반 요약,예,en,자동,"실행·습관, 신앙·가치, 기타",레스 브라운은 수많은 거절 속에서도 포기하지 않고 라디오 DJ라는 꿈을 쟁취한 자신의 일화를 통해 강력한 동기부여를 전달합니다.,01-growth.md#720t8HBjWns
성장을 위한,75,MazwNckdQ-8,"매출 720억을 만들어준, 일반인을 억대 연봉으로 만들어준 독서법 비밀 최종 공개, 독서법종결, 한번만 따라하면 평생 써먹습니다 [노아AI현대표]",자본운동가,https://www.youtube.com/watch?v=MazwNckdQ-8,자막 기반 요약,예,ko,자동,"실행·습관, 학습·기록",현승원 대표는 독서의 양보다 책의 내용을 실제 삶으로 살아내는 실행력을 강조하며 4단계 반복 독서법을 제안합니다.,01-growth.md#MazwNckdQ-8
성장을 위한,76,b8b2bUnH_NI,재능없이 평범한 사람이 성공하는 5단계 전략,드로우앤드류,https://www.youtube.com/watch?v=b8b2bUnH_NI,자막 기반 요약,예,ko,자동,"실행·습관, 사업·브랜딩, 기타",평범한 사람이 성공하려면 자신의 핑계를 자기 객관화의 도구로 삼아 비슷한 조건에서 성공한 '돌연변이'를 찾아야 합니다.,01-growth.md#b8b2bUnH_NI
성장을 위한,77,bbOsoEEQMsM,세계 최고 두뇌 과학자가 찾은 90%가 성공하는 목표설정법,터닝포인트 - 위대한 성공의 시작점,https://www.youtube.com/watch?v=bbOsoEEQMsM,자막 기반 요약,예,ko,자동,"실행·습관, 학습·기록, 건강",앤드류 후보만 교수는 뇌과학적 원리를 활용해 성취율을 높이는 방법으로 단 하나의 도전적인 목표에 집중할 것을 강조합니다.,01-growth.md#bbOsoEEQMsM
성장을 위한,78,0S3IUndOqT4,미국 네이비 씰도 배우는 스트레스 관리법 (지나영 교수 3부),지식인사이드,https://www.youtube.com/watch?v=0S3IUndOqT4,자막 기반 요약,예,ko,자동,"회복·감정, 건강",만성 스트레스 사회에서 남을 따라 하려는 강박을 버리고 자신만의 우선순위를 정하는 '조모(JOMO)'의 태도가 필요합니다.,01-growth.md#0S3IUndOqT4
성장을 위한,79,'-tqTeTa5XS8,왜 우리는 큰 꿈을 꾸지 않을까? 못하는 걸까?,드로우앤드류,https://www.youtube.com/watch?v=-tqTeTa5XS8,자막 기반 요약,예,ko,자동,"실행·습관, 회복·감정, 소통·관계",출연자들은 각자의 결핍과 환경 속에서 꿈을 정의하고 실현해 나가는 다양한 경험과 가치관을 공유합니다.,01-growth.md#-tqTeTa5XS8
성장을 위한,80,IsgbHSYRYts,인간의 어리석음에 대한 학습 by 버핏 & 멍거 (12 버크셔),몽뮤,https://www.youtube.com/watch?v=IsgbHSYRYts,자막 기반 요약,예,en,자동,"사업·브랜딩, 학습·기록, 기타",워런 버핏과 찰리 멍거는 타인의 실수와 금융적 어리석음을 연구하는 것이 성공의 핵심이라고 강조합니다.,01-growth.md#IsgbHSYRYts
성장을 위한,81,8eGDJNBzysM,[원본풀영상] 책에 차마 쓰지 못한 사장학개론 | 김승호의 북콘서트,스노우폭스북스,https://www.youtube.com/watch?v=8eGDJNBzysM,자막 기반 요약,예,ko,자동,"사업·브랜딩, 실행·습관",김승호 회장은 성공적인 경영과 주체적인 삶을 위해 자신을 먼저 변화시키고 끈기 있게 도전할 것을 강조합니다.,01-growth.md#8eGDJNBzysM
성장을 위한,82,BXHUJExC_eM,할수록 가난해지는 최악의 독서 습관 5,주언규 joo earn gyu,https://www.youtube.com/watch?v=BXHUJExC_eM,자막 기반 요약,예,ko,자동,"실행·습관, 학습·기록",독서가 성공으로 연결되려면 다독보다 내용을 삶에 적용하는 구체적인 전략과 실행이 필수적입니다.,01-growth.md#BXHUJExC_eM
성장을 위한,83,6x3b_70jBvk,???: 찬물 샤워를 해보세요,너덜트,https://www.youtube.com/watch?v=6x3b_70jBvk,자막 기반 요약,예,ko,자동,"실행·습관, 회복·감정, 기타",인간의 끝없는 욕망을 이겨내기 위해 작은 성공부터 실천하고 고통을 감내하며 목표를 향해 나아가는 태도를 강조합니다.,01-growth.md#6x3b_70jBvk
성장을 위한,84,qL_p0xm0Qt8,우리가 살면서 문학작품을 꼭 읽어야 하는 이유,한국사장학교 TV,https://www.youtube.com/watch?v=qL_p0xm0Qt8,자막 기반 요약,예,ko,자동,"학습·기록, 사업·브랜딩, 기타",문학 작품을 깊이 있게 읽는 것은 타인의 굴곡진 삶을 간접 체험하며 새로운 인생을 한 번 더 사는 것과 같습니다.,01-growth.md#qL_p0xm0Qt8
성장을 위한,85,qY1P_CmL8aQ,인생 노트앱...드디어 찾았습니다..!,노마드 코더 Nomad Coders,https://www.youtube.com/watch?v=qY1P_CmL8aQ,자막 기반 요약,예,en,자동,"도구·AI, 학습·기록, 사업·브랜딩",옵시디언의 기능을 극대화하고 시각적으로 개선해 주는 7가지 필수 플러그인을 소개합니다.,01-growth.md#qY1P_CmL8aQ
성장을 위한,86,9T5DukkikAg,나와 함께 오래갈 사람,한국사장학교 TV,https://www.youtube.com/watch?v=9T5DukkikAg,자막 기반 요약,예,ko,자동,"사업·브랜딩, 소통·관계","훌륭한 인재를 채용하기 위해서는 기술보다 품성을 우선시해야 하며, 이들이 오래 머물게 하려면 업무에서 보람을 느끼도록 지원해야 합니다.",01-growth.md#9T5DukkikAg
성장을 위한,87,Zh9fVMzLUlk,"성공포르노 성수기, 새해다짐 시즌에 속지 않는법",동기부여 뒤집기,https://www.youtube.com/watch?v=Zh9fVMzLUlk,자막 기반 요약,예,ko,자동,"실행·습관, 사업·브랜딩, 회복·감정","새해다짐 시즌에 기승을 부리는 성공 포르노 마케팅의 허구성을 비판하며, 과도한 계획보다 본질적인 실천의 중요성을 강조합니다.",01-growth.md#Zh9fVMzLUlk
성장을 위한,88,pwKuAkgUWnc,"내가 끊임없이 실패하는 이유, 의지력이 부족해서가 아닙니다! ㅣ 베이직교회 조정민 목사 ㅣ 잘잘법 174회",잘잘법 :잘 믿고 잘 사는 법,https://www.youtube.com/watch?v=pwKuAkgUWnc,자막 기반 요약,예,ko,자동,"실행·습관, 신앙·가치, 회복·감정",작심삼일의 반복은 의지력 부족이 아니라 일의 가치와 중요성을 충분히 자각하지 못했기 때문입니다.,01-growth.md#pwKuAkgUWnc
성장을 위한,89,b1d3yB7Vv7c,피가 되고 살이 되는 쓴소리 ft.백종원,잘될거야,https://www.youtube.com/watch?v=b1d3yB7Vv7c,자막 기반 요약,예,ko,자동,"실행·습관, 소통·관계, 동기부여",백종원은 과거를 딛고 기회를 얻은 이에게 주변의 믿음을 저버리지 말고 반드시 변화할 것을 강력히 촉구합니다.,01-growth.md#b1d3yB7Vv7c
성장을 위한,90,Wrma9n0ibcg,레이달리오의 성공법칙,코인 데이터,https://www.youtube.com/watch?v=Wrma9n0ibcg,자막 기반 요약,예,en,자동,"실행·습관, 사업·브랜딩",레이 달리오가 제안하는 성공을 위한 5단계 프로세스를 설명합니다.,01-growth.md#Wrma9n0ibcg
성장을 위한,91,Erx28AkkU6w,"""모든 학생에 전액 장학금을"" 1조 3천억 원 기부 / SBS / #D리포트",SBS 뉴스,https://www.youtube.com/watch?v=Erx28AkkU6w,자막 기반 요약,예,ko,확인 안 됨,"신앙·가치, 기타",알버트 아인슈타인 의과대학의 루스 가데스먼 전 교수가 학생들의 학비 부담을 없애기 위해 1조 3천억 원을 기부했습니다.,01-growth.md#Erx28AkkU6w
성장을 위한,92,ECh25K1_6SI,"하고 싶은 일, 해야 하는 일ㅣ동기부여 영상 모음",자기객관화,https://www.youtube.com/watch?v=ECh25K1_6SI,자막 기반 요약,예,ko,자동,"실행·습관, 회복·감정, 기타",성공한 인물들의 경험을 통해 자신이 좋아하는 일을 포기하지 않고 도전하는 태도의 중요성을 강조합니다.,01-growth.md#ECh25K1_6SI
성장을 위한,93,8onUlhw_qtQ,진짜 내 꿈을 찾는 법!! 방황하고 있는 그대에게✨,CosmoJina 코스모지나,https://www.youtube.com/watch?v=8onUlhw_qtQ,영상 직접 분석,예,ko,수동,"실행·습관, 학습·기록, 회복·감정",이 영상은 로라 가넷의 '천재성 영역(Zone of Genius)' 개념을 활용해 진정한 자아와 꿈을 찾는 구체적인 방법을 제시합니다.,01-growth.md#8onUlhw_qtQ
성장을 위한,94,_h3ecO9v6Tc,도덕적으로 미덕있는 척 하는 사람은 저급한 사람이다 | 조던 피터슨,바른말오른말,https://www.youtube.com/watch?v=_h3ecO9v6Tc,자막 기반 요약,예,en,자동,"소통·관계, 회복·감정",조던 피터슨은 자신의 무능함과 나약함을 도덕적 미덕으로 포장하는 남성이 노골적인 가해자보다 더 저급한 존재라고 비판합니다.,01-growth.md#_h3ecO9v6Tc
성장을 위한,95,1x6v-bDJ1jQ,포기 안 하는 방법,주언규 joo earn gyu,https://www.youtube.com/watch?v=1x6v-bDJ1jQ,자막 기반 요약,예,ko,자동,"실행·습관, 기타","포기는 결과를 확인하지 않고 중간에 그만두는 것이며, 이를 방지하려면 시작 전 명확한 기간을 설정해야 합니다.",01-growth.md#1x6v-bDJ1jQ
성장을 위한,96,zfx3k7NB1G8,우리나라가 인터넷 최강국이 된 이유,또치킨,https://www.youtube.com/watch?v=zfx3k7NB1G8,자막 기반 요약,예,ko,자동,"도구·AI, 기타",전길남 박사는 기술적 불모지였던 한국에서 네트워크 구축이 국가 발전의 핵심임을 간파하고 독자적인 기술 개발을 이끌었습니다.,01-growth.md#zfx3k7NB1G8
성장을 위한,97,QrshuvMBOC4,아무리 해도 인생이 안 풀릴 때,주언규 joo earn gyu,https://www.youtube.com/watch?v=QrshuvMBOC4,자막 기반 요약,예,ko,자동,"실행·습관, 소통·관계",인생이 잘 풀리지 않을 때는 고집을 버리고 목표는 유지하되 접근 방법을 바꾸는 유연함이 필요합니다.,01-growth.md#QrshuvMBOC4
성장을 위한,98,snAcqJmDwss,"결국 해내는 사람들은 계획부터 다르다 ""계획대로 안되도 흔들리지 않아요""",드로우앤드류,https://www.youtube.com/watch?v=snAcqJmDwss,자막 기반 요약,예,ko,자동,"실행·습관, 학습·기록, 기타","앤드류는 계획, 실행, 기록, 동기부여로 이어지는 지속 가능한 자기계발 사이클을 통해 목표에 가까워지는 방법을 제시합니다.",01-growth.md#snAcqJmDwss
성장을 위한,99,0ytXUIWS4P4,대부분의 사람들이 이걸 몰라서 부자가 되지 못해요 | 되더라 - 현우진 | 공부자극 | 동기부여 | bgm 제거 버전,오늘의글,https://www.youtube.com/watch?v=0ytXUIWS4P4,자막 기반 요약,예,ko,자동,"실행·습관, 학습·기록, 동기부여","현우진 강사는 공부의 성패가 재능과 노력의 결합에 달려 있으며, 압도적인 성과를 위해선 높은 기준과 막대한 인풋이 필수라고 강조합니다.",01-growth.md#0ytXUIWS4P4
성장을 위한,100,9BnSk8UuOyc,우리의 인생에는 세 단계가 있다.,Intelligence,https://www.youtube.com/watch?v=9BnSk8UuOyc,자막 기반 요약,예,en,자동,"실행·습관, 신앙·가치",SNS에 의존하기보다 침묵 속에서 배우고 성장하며 인생의 세 단계를 충실히 살아가라는 조언을 전합니다.,01-growth.md#9BnSk8UuOyc
성장을 위한,101,A_9ecbVNH4U,"워렌버핏의 평생 파트너, 최고 자산가 찰리멍거의 10가지 교훈, 부자의 습관ㅣ동기부여학과",동기부여학과,https://www.youtube.com/watch?v=A_9ecbVNH4U,자막 기반 요약,예,ko,자동,"실행·습관, 사업·브랜딩, 신앙·가치","찰리 멍거는 돈을 목적이 아닌 원하는 삶을 살기 위한 도구로 정의하며, 겸손과 단순함의 가치를 강조합니다.",01-growth.md#A_9ecbVNH4U
성장을 위한,102,h26vRWbx6nU,성공한 사람들의 한 가지 비밀 | 마크 주커버크,NOMATTER 노메럴,https://www.youtube.com/watch?v=h26vRWbx6nU,자막 기반 요약,예,en,자동,"실행·습관, 사업·브랜딩","마크 주커버그는 아이디어가 처음부터 완벽하게 완성된 상태로 나타나지 않으며, 실행하는 과정에서 점차 명확해진다고 강조합니다.",01-growth.md#h26vRWbx6nU
성장을 위한,103,uzLrRi6zWaA,"사실상 끝난 상황에서, 어떻게든 방법을 찾아 보는데..",MG세대,https://www.youtube.com/watch?v=uzLrRi6zWaA,자막 기반 요약,예,en,확인 안 됨,"실행·습관, 회복·감정",절망적인 상황에서도 포기하지 않고 끝까지 해결책을 찾아내는 끈기의 중요성을 보여줍니다.,01-growth.md#uzLrRi6zWaA
성장을 위한,104,9TBJHgUCNuk,당신에게 불안이 찾아왔다면 | 로버트 그린,NOMATTER 노메럴,https://www.youtube.com/watch?v=9TBJHgUCNuk,자막 기반 요약,예,en,자동,"회복·감정, 실행·습관","로버트 그린은 불안을 해결되지 않은 문제에 대한 신호로 정의하며, 즉각적인 해답을 찾기보다 깊이 사고할 것을 권장합니다.",01-growth.md#9TBJHgUCNuk
성장을 위한,105,1eqTEQvzc1E,배우는 속도가 느린 것 같다면 '이걸' 해 보세요 | 빠른 학습을 가능하게 하는 3가지 도구,알리고올리GO - 교육정보 전문 채널,https://www.youtube.com/watch?v=1eqTEQvzc1E,자막 기반 요약,예,en,자동,"학습·기록, 실행·습관, 건강",성인기 뇌 가소성을 활성화하려면 실수를 통한 자극과 적절한 자율신경계 조절이 필수적입니다.,01-growth.md#1eqTEQvzc1E
성장을 위한,106,wnYdyYdJOBY,게으르고 야망이 큰 사람이 위험한 이유 | 패트릭 벳 데이비드,NOMATTER 노메럴,https://www.youtube.com/watch?v=wnYdyYdJOBY,자막 기반 요약,예,en,자동,"소통·관계, 사업·브랜딩",패트릭 벳 데이비드는 실력과 노력 없이 야망만 큰 사람들을 사회에서 가장 위험한 부류로 정의하며 경계할 것을 조언합니다.,01-growth.md#wnYdyYdJOBY
성장을 위한,107,F42oxFb9gfc,실리콘밸리가 사용하는 일하는 프로세스,퇴사한 이형,https://www.youtube.com/watch?v=F42oxFb9gfc,자막 기반 요약,예,ko,자동,"사업·브랜딩, 소통·관계, 기타","실리콘밸리는 명확한 오너십과 고객 중심 문화를 바탕으로 투명한 업무 프로세스를 운영하며, 이는 파편화된 한국식 업무 방식과 차별화됩니다.",01-growth.md#F42oxFb9gfc
성장을 위한,108,fx-6os408VE,진상 처리에 도가 튼 알바생,숏! 무비중심,https://www.youtube.com/watch?v=fx-6os408VE,자막 기반 요약,예,ko,자동,"소통·관계, 사업·브랜딩",불만을 제기하는 손님에게 즉각 사과하고 너스레를 떨어 상황을 유연하게 해결하는 알바생의 모습입니다.,01-growth.md#fx-6os408VE
성장을 위한,109,r4v4oinvmng,성공한 사업가는 다 한다는 '이 루틴',큰손 노희영,https://www.youtube.com/watch?v=r4v4oinvmng,자막 기반 요약,예,ko,자동,"사업·브랜딩, 학습·기록, 실행·습관","외식할 때마다 식당의 좌석 수, 인건비, 매출 및 임대료를 추정하여 기록하는 분석 루틴을 강조합니다.",01-growth.md#r4v4oinvmng
성장을 위한,110,Ri0boleSuDc,레스 브라운 역대급 동기부여 영상 -,성공한스푼,https://www.youtube.com/watch?v=Ri0boleSuDc,영상 직접 분석,아니오,확인 안 됨,확인 안 됨,"회복·감정, 실행·습관, 기타",레스 브라운은 아들과의 게임 일화를 통해 승리할 때까지 포기하지 않는 태도의 중요성을 강조합니다.,01-growth.md#Ri0boleSuDc
성장을 위한,111,ORUfaD_jjfE,신발 끈 꽉 매고 그냥 밀어붙여.,Intelligence,https://www.youtube.com/watch?v=ORUfaD_jjfE,자막 기반 요약,예,en,자동,"사업·브랜딩, 실행·습관",상업용 부동산 전문가인 인터뷰이는 성공을 위해 막대한 자본보다 지능과 끈기 있는 노력이 필수적이라고 강조합니다.,01-growth.md#ORUfaD_jjfE
성장을 위한,112,LwnsHp5b-rU,냉소적인 사람과 낙관적인 사람의 차이 | 알렉스 홀모지,NOMATTER 노메럴,https://www.youtube.com/watch?v=LwnsHp5b-rU,자막 기반 요약,예,en,자동,"사업·브랜딩, 실행·습관",낙관주의자는 큰 성취가 가능하다는 믿음을 바탕으로 행동하며 결국 부와 성공을 거머쥡니다.,01-growth.md#LwnsHp5b-rU
성장을 위한,113,cOINKq-rzVE,“나도 기술적 분석 다 해봤지” #워런버핏,메이킹알파,https://www.youtube.com/watch?v=cOINKq-rzVE,자막 기반 요약,예,en,확인 안 됨,"실행·습관, 학습·기록, 기타",워런 버핏은 주식 투자에서 이론보다 실제 경험을 통한 배움과 자기 성찰의 중요성을 강조합니다.,01-growth.md#cOINKq-rzVE
성장을 위한,114,KNC7UWvn4W4,비범함을 위해선 그래야만 한다.,Intelligence,https://www.youtube.com/watch?v=KNC7UWvn4W4,자막 기반 요약,예,en,자동,"실행·습관, 사업·브랜딩",비범한 성과를 달성하기 위해서는 완벽주의와 타협하지 않는 엄격한 기준이 필수적임을 강조합니다.,01-growth.md#KNC7UWvn4W4
성장을 위한,115,8eI3v-A4g-g,나는 해낸다 안 되면 죽는다.,Intelligence,https://www.youtube.com/watch?v=8eI3v-A4g-g,영상 직접 분석,아니오,확인 안 됨,확인 안 됨,"실행·습관, 성공, 동기부여, 짐론",짐 론은 '죽을 각오로 해내겠다'는 강력한 결심이 인생을 바꿀 수 있다고 강조합니다.,01-growth.md#8eI3v-A4g-g
성장을 위한,116,4z4Gj2BXQKw,자신감 있는 척? 현실에선 안 통한다🙅‍♂️,미엠지 Me:MZ,https://www.youtube.com/watch?v=4z4Gj2BXQKw,자막 기반 요약,예,en,자동,"실행·습관, 회복·감정",자신감은 단순히 척하는 것이 아니라 작은 성취를 통해 신체가 학습해 나가는 과정입니다.,01-growth.md#4z4Gj2BXQKw
성장을 위한,117,R5lyFHQ27UU,남의 시선 자꾸 신경 쓰는 게 위험한 이유,오현호의 행동력 수업 ,https://www.youtube.com/watch?v=R5lyFHQ27UU,자막 기반 요약,예,ko,자동,"소통·관계, 회복·감정, 기타",비행기 착륙 시 타인의 평가를 의식해 부드러운 착륙에만 집착하면 오히려 위험한 상황을 초래할 수 있습니다.,01-growth.md#R5lyFHQ27UU
성장을 위한,118,Bg-qpNbs9Yo,진짜 가족을 위해 살고 있긴 해?,Intelligence,https://www.youtube.com/watch?v=Bg-qpNbs9Yo,자막 기반 요약,예,en,확인 안 됨,"실행·습관, 소통·관계","가족을 위해 죽을 수 있다는 거창한 다짐보다, 그들을 위해 건강하게 살아가는 일상의 실천이 더 중요합니다.",01-growth.md#Bg-qpNbs9Yo
성장을 위한,119,g8kEEE4_uRM,무례한 농담 대처법,"One Step, Big Change | 작은 한걸음, 큰 변화",https://www.youtube.com/watch?v=g8kEEE4_uRM,자막 기반 요약,예,en,자동,"소통·관계, 심리",무례한 질문을 받았을 때 상대방에게 말을 다시 해달라고 요청하여 상황의 주도권을 잡는 방법을 설명합니다.,01-growth.md#g8kEEE4_uRM
성장을 위한,120,572Tq1DZbsY,”세상은 소심한 남자에게 잔인하고 용기있는 자에게 보상을 준다“,미엠지 Me:MZ,https://www.youtube.com/watch?v=572Tq1DZbsY,자막 기반 요약,예,en,자동,"실행·습관, 사업·브랜딩, 소통·관계",진정한 자신감은 타인 앞에서 바보처럼 보이거나 실패하는 것을 두려워하지 않는 태도에서 시작됩니다.,01-growth.md#572Tq1DZbsY
성장을 위한,121,CdPkWCOj4ho,하는 일이 적성에 안맞을 때,큰손 노희영,https://www.youtube.com/watch?v=CdPkWCOj4ho,자막 기반 요약,예,ko,자동,"실행·습관, 소통·관계",모델에서 공인중개사로 전업 후 정체성 혼란을 겪는 사연자에게 전문가는 배수의 진을 치는 태도를 강조합니다.,01-growth.md#CdPkWCOj4ho
성장을 위한,122,Vkmn9Q7zZBY,개그맨에서 연봉 10억 작가로 변신한 고명환의 비법은 '이것'⁉️ 정해진 틀을 깨고 사고방식을 바꾸는 가장 효과적인 법✅ #어쩌다어른10주년,tvN STORY 티비엔 스토리,https://www.youtube.com/watch?v=Vkmn9Q7zZBY,자막 기반 요약,예,ko,자동,"실행·습관, 학습·기록, 사업·브랜딩",고명환 작가는 독서를 통해 타인이 정한 기준의 틀을 깨고 자신의 세계를 확장하는 것이 성공의 핵심이라고 강조합니다.,01-growth.md#Vkmn9Q7zZBY
성장을 위한,123,fOQ7U2xL3sw,4000억 엑싯한 맥킨지 출신 창업가의 초합리적 결정법(+경제학)ㅣ스킨1004 이소형,EO Korea,https://www.youtube.com/watch?v=fOQ7U2xL3sw,자막 기반 요약,예,ko,자동,"사업·브랜딩, 실행·습관, 소통·관계","이소형 대표는 거시적 흐름을 읽고 유연하게 대응하며 스킨1004를 글로벌 브랜드로 성장시켜 4,000억 원 규모의 엑싯을 달성했습니다.",01-growth.md#fOQ7U2xL3sw
성장을 위한,124,c0tpnShGv4U,최선을 다했는데 인정받지 못하는 마음이 든다면 #악마는프라다,비오케이 BeOk,https://www.youtube.com/watch?v=c0tpnShGv4U,자막 기반 요약,예,확인 안 됨,수동,"소통·관계, 실행·습관","주인공 앤디는 최선을 다해도 인정받지 못한다며 불평하지만, 동료 나이젤은 그것이 노력이 아닌 징징거림일 뿐이라고 일침을 가합니다.",01-growth.md#c0tpnShGv4U
성장을 위한,125,VCzjbSr00VM,일을 '진짜' 잘하는 사람들 특징,하꼰대 Ha kkondae,https://www.youtube.com/watch?v=VCzjbSr00VM,자막 기반 요약,예,ko,자동,"소통·관계, 실행·습관",일을 잘하는 사람의 핵심은 결과뿐만 아니라 과정에 대한 확실한 보고와 피드백에 있습니다.,01-growth.md#VCzjbSr00VM
성장을 위한,126,G1WOyfYeQZQ,무려 5년 동안 매일 훈련했다는 마이클 펠프스,애슬레틱 라이프 Athletic Life,https://www.youtube.com/watch?v=G1WOyfYeQZQ,자막 기반 요약,예,확인 안 됨,수동,"실행·습관, 기타",마이클 펠프스는 5~6년 동안 휴일 없이 매일 훈련하며 압도적인 연습량을 유지했습니다.,01-growth.md#G1WOyfYeQZQ
성장을 위한,127,MUXL_JmgnXA,"사고를 바꾸는 방법, 학생뿐만 아니라 일반인들이 사고를 바꾸려면 꼭 봐야할 영상│현우진 동기부여 영상│삶의 자세│공부 자극",인간관계와 현생,https://www.youtube.com/watch?v=MUXL_JmgnXA,자막 기반 요약,예,ko,자동,"학습·기록, 실행·습관",현우진 강사는 성적 향상을 위해 단순한 공부량보다 사고의 전환과 독서를 통한 문해력 강화가 필수적임을 강조합니다.,01-growth.md#MUXL_JmgnXA
성장을 위한,128,NNSyrIlzwwM,"[메가스터디] 바른공부설명회 현우진 ""교과서 학습을 통한 사고력 향상 학습법""",theMEGASTUDY,https://www.youtube.com/watch?v=NNSyrIlzwwM,자막 기반 요약,예,ko,자동,"학습·기록, 실행·습관",현우진 강사는 단순 암기에서 벗어나 사고력을 기르기 위한 독서와 단계별 교과서 학습의 중요성을 강조합니다.,01-growth.md#NNSyrIlzwwM
성장을 위한,129,EECgJPb6CMM,완벽을 버려야 성공한다? | Scale AI 알렉산더 왕의 완벽주의 탈출기,밸리걸,https://www.youtube.com/watch?v=EECgJPb6CMM,자막 기반 요약,예,"button ""한국어로 번역""",수동,"실행·습관, 사업·브랜딩",알렉산더 왕은 세상의 혼란스러움을 인정하며 완벽주의 대신 실용적인 접근 방식을 강조합니다.,01-growth.md#EECgJPb6CMM
성장을 위한,130,TLZIMMnEUfQ,지금 차기 미국 대통령 후보까지 거론되는 중… #영어인터뷰 #영어공부,Bagel English,https://www.youtube.com/watch?v=TLZIMMnEUfQ,자막 기반 요약,예,확인 안 됨,수동,"실행·습관, 회복·감정, 기타","조나단 김은 해군 실 출신이자 하버드 의대를 졸업한 NASA 우주비행사로, 불우한 가정 환경을 극복한 인물입니다.",01-growth.md#TLZIMMnEUfQ
